before,after,since,until,while
0.7588969999999999,0.7111890000000001,0.562925,0.6658520000000001,0.61536
0.961593,0.8495100000000001,0.595391,0.711734,0.744124
0.9974999999999999,0.8314769999999999,0.670245,0.781196,0.75036
0.997789,0.836398,0.8072119999999998,0.884314,0.7575180000000001
0.997892,0.8508140000000001,0.8986780000000001,0.897457,0.794602
0.9983879999999999,0.799182,0.927795,0.934234,0.8072440000000001
0.9984149999999999,0.8510669999999999,0.939645,0.921051,0.834379
0.998613,0.857443,0.947561,0.935215,0.8689649999999999
0.998208,0.8572569999999999,0.9569759999999998,0.9366810000000001,0.938932
0.997954,0.8368589999999999,0.9559199999999999,0.9425779999999999,0.8974210000000001
0.9984500000000001,0.8867839999999999,0.9545129999999998,0.9446919999999999,0.886721
0.998264,0.889322,0.939068,0.9435119999999999,0.965975
0.9986980000000001,0.879908,0.940653,0.965613,0.998056
0.9983259999999999,0.881095,0.95146,0.967416,0.9962580000000001
0.9985120000000001,0.8798390000000001,0.973554,0.9692550000000001,0.996024
0.9982939999999999,0.862448,0.9719190000000001,0.9661099999999999,0.9968830000000001
0.9988060000000001,0.866799,0.973063,0.9685780000000002,0.995688
0.9981399999999999,0.824493,0.974215,0.9851369999999999,0.9963470000000001
0.9984740000000001,0.8248150000000001,0.975386,0.9848320000000002,0.99502
0.9976939999999999,0.841986,0.97539,0.9835990000000001,0.9971140000000001
0.999938,0.843911,0.973818,0.9836050000000001,0.9954509999999999
0.998264,0.850102,0.975325,0.9840070000000001,0.995721
0.998884,0.8596499999999999,0.9763529999999999,0.9846340000000001,0.9967970000000002
0.9991048571428571,0.8558030000000001,0.9762668571428572,0.9853222857142857,0.9973088571428572
